Error,Latitude DT,Longitude DT,Lat Trace,Long Trace,Cells
0.183412342,38.73924586,-9.142034217,38.74088441,-9.142034217, 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES   4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 
0.163572196,38.73960583,-9.140580413,38.73816246,-9.140580413, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA 
0.212716343,38.73906587,-9.141780427,38.74034002,-9.141780427, 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.003359154,38.74113571,-9.140083963,38.7411566,-9.140083963, 4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES   4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF   4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES   4G - 4LB01729C_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729C_CAMPO_PEQUENO_SUBS 
0.151615059,38.73924586,-9.14053434,38.73789026,-9.14053434, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS 
0.174734186,38.73951584,-9.141953401,38.74088441,-9.141953401, 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 
0.154088879,38.73906587,-9.146049295,38.73897904,-9.146049295, 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 
0.193467702,38.73915587,-9.142022697,38.74088441,-9.142022697, 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES   4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 
0.108179345,38.73942585,-9.14148038,38.73952343,-9.14148038, 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF   4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.020254396,38.74032577,-9.142287837,38.74034002,-9.142287837, 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.371691078,38.74023578,-9.146429877,38.73734587,-9.146429877, 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA 
0.040430847,38.73861591,-9.144030311,38.73897904,-9.144030311, 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA 
0.095175702,38.74149568,-9.138399356,38.74088441,-9.138399356, 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.069311155,38.74059575,-9.141630136,38.74006782,-9.141630136, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 
